param_set,lambda,n_hubs,config,abandonment_pct,avg_queue_wait_min,avg_true_wait_min,matched_riders,avg_earnings,total_earnings,avg_profit_per_hr,avg_idle_ratio,variance,cvar,fairness_effect,delta_cvar_cross,delta_profit
given,1.0,1,given_lam1.0_k1,28.984928941956472,1.7163775683132423,28.93545263953839,23136,143.035356896445,464578.83919965336,20.4043547731851,0.04340538650114993,603.3137397141605,91.15707185690577,0.05378580358673535,-13.731187146390212,-14.623352673427036
given,1.0,2,given_lam1.0_k2,28.26763645329306,1.6566384897506998,28.52225784516851,23275,142.2755625550624,468086.6008061553,20.343742923293654,0.05362562680240847,629.5807697324659,86.82948990503587,0.012589598254648227,-18.058769098260115,-15.383147014809623
given,1.0,3,given_lam1.0_k3,28.635194197328044,1.662854071291255,28.93673968457852,23023,142.77969252111666,461463.9662282491,20.38682830612187,0.043121639499460525,578.1402904560373,91.64684192417724,0.0932668786771359,-13.241417079118747,-14.879017048755372
given,1.0,4,given_lam1.0_k4,28.081528025258685,1.6395135252560842,28.52252303833873,23006,142.92303787786847,460212.18196673645,20.385976152097644,0.05029566021177182,599.295208633141,90.51203676882535,0.060088314050677605,-14.376222234470632,-14.735671692003564
given,1.0,5,given_lam1.0_k5,26.744651377558874,1.5289411013075056,28.15774898267631,23797,142.5124117710388,476418.99255058274,20.32362126931447,0.05426645991020425,577.6700649167689,92.73914102814038,0.0940043624297564,-12.149117975155605,-15.146297798833217
given,1.0,6,given_lam1.0_k6,30.857532886572354,1.8283669746625462,29.746184782554295,22286,142.46290758885996,445339.04912277625,20.358203411779485,0.035257893975725714,616.410647690752,89.12121107520638,0.03324511399057217,-15.76704792808961,-15.195801981012067
given,1.0,7,given_lam1.0_k7,28.97164542902101,1.76763929182158,29.429219678126287,23021,142.166279505547,462324.74095203885,20.307459624526917,0.04548360756050065,608.8342062131031,88.34621441485628,0.04512771505290192,-16.54204458843971,-15.49243006432502
given,1.0,8,given_lam1.0_k8,29.791230447099398,1.7972290784571012,29.418783109627356,22801,142.29915356212103,455357.2913987873,20.33802345977435,0.03827871389890713,589.0697623622143,89.78638710122009,0.07612551292301883,-15.1018719020759,-15.359556007750996
given,1.0,9,given_lam1.0_k9,28.58155591172482,1.6988403676573944,29.090099097028823,23171,142.92907020515773,463947.76188594196,20.422101864751234,0.039773060567850606,601.1602250241863,91.37349902243099,0.05716329366810424,-13.514759980864994,-14.729639364714302
given,1.0,10,given_lam1.0_k10,30.454055718023703,1.75891744622786,29.623062616513607,22592,142.57736074834312,453253.4298189828,20.368846851017057,0.036714654431263455,595.2473344766842,89.07725817671228,0.06643684507194769,-15.811000826583708,-15.081348821528906
